公司名称,职位,薪水
CloudIn,自动化平台研发工程 师 (Python 后台）,20k-40k
小蚁,固件测试(python脚本经验丰富),10k-20k
电话邦,python开发（数据爬取分析开发工程师，爬虫）,8k-16k
ThoughtWorks,后端开发（JAVA，C#，Python，Ruby）,12k-18k
拓林思,Python驻场工程师,10k-18k
小米,java/python开发工程师（小米电视）,20k-40k
闪银奇异,python高级/架构师,25k-35k
乐歌,Python,6k-12k
乐骐科技,Python,7k-10k
CloudIn云英,高级python开发工程师,20k-35k
合金理财,Python开发工程师,8k-12k
应用汇,Python实习生,2k-4k
中国亿教亿学网,Python工程师,10k-20k
猎豹移动,后台研发经理（Python/Go）,25k-35k
快更视频,python开发（爬虫）,10k-20k
CloudIn,Python 高级研发工程师,20k-40k
小米,Python开发工程师（锁屏画报）,15k-30k
闪银奇异,Python开发,10k-20k
快更视频,Python,18k-36k
任子行,python开发工程师,8k-12k
春雨移动健康,Python,15k-30k
二柄,Python,10k-20k
普智正元珠海公司,Python研发工程师,5k-10k
Veeva,高级Python开发工程师,25k-35k
易知科技,高级Python工程师,18k-25k
合肥火车头,python爬虫工程师,4k-8k
青柏信息,Python研发工程师,10k-15k
上海时来,python爬虫开发工程师,8k-16k
还呗-智能信贷领先者,Python 开发工程师,10k-15k
禾思,云服务后端工程师python开发,10k-13k
